acc.date,aircraft_type,operator,location,fatalities,damage
1/3/2022,British Aerospace 4121 Jetstream 41,SA Airlink,0,0,Substantial
1/4/2022,British Aerospace 3101 Jetstream 31,LANHSA - Línea Aérea Nacional de Honduras S.A,0,0,Substantial
1/5/2022,Boeing 737-4H6,Caspian Airlines,0,0,Substantial
1/8/2022,Tupolev Tu-204-100C,"Cainiao, opb Aviastar-TU",0,0,Written Off
1/12/2022,Beechcraft 200 Super King Air,private,0,0,Written Off
1/16/2022,Airbus A320-214 (Wl),Star Flyer,0,0,None
1/19/2022,Cessna 208B Grand Caravan Ex,Mahan Air,0,0,Substantial
1/22/2022,Airbus A320-232,JetBlue Airways,0,0,Substantial
1/27/2022,Bombardier Cl-600-2B16 Challenger 604,Volare Aviation,0,0,Substantial
1/31/2022,Bombardier Cl-600-2B16 Challenger 604,Lima Delta Co Trustee,0,0,Substantial
1/31/2022,Beechcraft B300 King Air 350,"Air Tindi, opf Royal Canadian Air Force - RCAF",0,0,Substantial
2/2/2022,Hawker 1000,Skyview LLC,0,0,Substantial
2/5/2022,Cessna 208B Grand Caravan,Care Aviation,0,0,Substantial
2/7/2022,Embraer Erj-190-100Lr,Finnair,0,0,Substantial
2/8/2022,Antonov An-26,South Sudanese Air Force,0,0,Substantial
2/11/2022,Cessna 501 Citation I/Sp,Aviajet SA,0,0,Substantial
2/11/2022,Antonov An-2R,Kamchatsky Krechet,2,0,Written Off
2/14/2022,Let L-410Uvp-E3,Doren Air Congo,0,0,Written Off
2/15/2022,Atr 42-500,Japan Air Commuter,0,0,None
2/15/2022,Britten-Norman Bn-2A-9 Islander,Air Flamenco,0,0,Substantial
2/16/2022,Swearingen Sa226-At Merlin Iv,Colcharter,0,0,Substantial
2/18/2022,Embraer Emb-500 Phenom 100E,Eclipse Transport LLC,0,0,Substantial
2/21/2022,De Havilland Canada Dhc-3T Texas Turbine Otter,Bald Mountain Air Services,0,0,Substantial
2/21/2022,Raytheon Hawker 800Xp,Roper Aviation LLC,0,0,Substantial
2/23/2022,Cessna 208B Grand Caravan,Air Serv Limited,0,0,Substantial
2/23/2022,Antonov An-2,Taraz Zhana Alem,0,0,Written Off
2/24/2022,Antonov An-22A,Antonov Airlines,0,0,Substantial
2/24/2022,Antonov An-26-100,Antonov Airlines,0,0,Written Off
2/24/2022,Antonov An-74T,Antonov Airlines,0,0,Written Off
2/24/2022,Cessna 208B Supervan 900,GoJump Oceanside,0,0,Substantial
2/24/2022,Antonov An-26,Russian Air Force,,0,Written Off
2/24/2022,Antonov An-26,Ukraine Air Force,5,0,Written Off
2/26/2022,Cessna 208B Grand Caravan,AB Aviation,14,0,Written Off
2/27/2022,Antonov An-124-100,Antonov Airlines,0,0,Substantial
2/27/2022,Antonov An-225,Antonov Airlines,0,0,Written Off
2/28/2022,Cessna 208B Grand Caravan,Revolution Flight,0,0,Substantial
2/28/2022,Embraer Erj 170-200 Lr (Erj-175Lr),"American Eagle, opb Republic Airlines",0,0,Minor
2/28/2022,Cessna 208B Grand Caravan Ex,Spirit Avia Sentosa,0,0,Substantial
3/1/2022,Shaanxi Y-8Q,China Naval Air Force - Unit 92967,11,0,Written Off
3/2/2022,Embraer Emb-500 Phenom 100,Flyzar,0,0,Substantial
3/3/2022,Boeing 737-8As (Wl),Ryanair,0,0,None
3/5/2022,Dornier 228-101,Indian Coast Guard,0,0,Substantial
3/6/2022,Beechcraft 200 Super King Air,HLAF AETA LLC,0,0,Substantial
3/7/2022,Cessna 525B Citationjet Cj3,Ozark Air Services,0,0,Substantial
3/8/2022,Cessna 208 Caravan I,Bamaji Air,0,0,Written Off
3/9/2022,Honda Ha-420 Hondajet,Jet It LLC,0,0,Substantial
3/12/2022,Beechcraft 1900D,Bocas Air,0,0,Substantial
3/17/2022,Cessna 208B Super Cargomaster,Martinaire,0,0,Minor
3/17/2022,Cessna 208B Super Cargomaster,Martinaire,0,0,Substantial
3/21/2022,Boeing 737-89P (Wl),China Eastern Airlines,132,0,Written Off
3/26/2022,Boeing 767-346Er,Japan Airlines (JAL),0,0,None
3/30/2022,Cessna 208 Caravan I,"Skydive Costa d'Argento, lsf Gladwings",1,0,Written Off
4/1/2022,Embraer Emb-110P2 Bandeirante,TAG Airlines,0,0,Substantial
4/2/2022,Learjet 75,Georgia Crown Distributing Co.,0,0,Substantial
4/7/2022,Boeing 757-27A (Pcf),DHL Aero Expreso,0,0,Written Off
4/8/2022,Aero Modifications Ami Dc-3-65Tp,ALIANSA Colombia,0,0,Substantial
4/11/2022,Beechcraft A100 King Air,Thunder Airlines,0,0,Substantial
4/13/2022,Gulfstream American G-1159 Gulfstream Ii B,private,0,0,Written Off
4/13/2022,Basler Bt-67 Turbo 67,Servicio Aéreo de Policia,0,0,Substantial
4/13/2022,Cessna 208B Grand Caravan,Gem Air,1,0,Written Off
4/14/2022,Fairchild Sa227-Dc Metro 23,Denver Air Connection,0,0,Substantial
4/17/2022,Embraer Emb-505 Phenom 300,VOAR Cooperativa,0,0,Substantial
4/17/2022,Cessna 525B Citationjet Cj3,GP Aviation LLC,0,0,Substantial
4/22/2022,Antonov An-26B-100,Constanta Airlines,1,0,Written Off
4/26/2022,Boeing 737-8As (Wl),Ryanair,0,0,None
4/30/2022,Beechcraft 99A Airliner,Freight Runners Express,0,0,Substantial
4/30/2022,Cessna 208B Grand Caravan,Centre Ecole de Parachutisme Sportif de l'Ariège,0,0,Substantial
5/1/2022,Boeing 737-8As (Wl),SpiceJet,0,0,Unknown
5/3/2022,Shorts 360-300,Air Cargo Carriers,0,0,Substantial
5/6/2022,Beechcraft 200 Super King Air,Sociedad De Transporte Aéreo Movi Air SPA,0,0,Substantial
5/6/2022,Boeing 737-82R (Wl),Blue Air,0,0,Substantial
5/10/2022,Boeing 737-883 (Wl),SAS Scandinavian Airlines,0,0,None
5/11/2022,Viking Air Dhc-6 Twin Otter 400,Caverton Helicopters (Cameroun) Ltd.,11,0,Written Off
5/11/2022,Cessna 208 Caravan I,"LBK Serviço Aéreo Especializado, opf Skydive4Fun",2,0,Substantial
5/12/2022,Airbus A319-115 (Wl),Tibet Airlines,0,0,Written Off
5/20/2022,Embraer Emb-110P1 Bandeirante,Sales Taxi Aéreo,0,0,Substantial
5/21/2022,Boeing 737-7H4 (Wl),Southwest Airlines,0,0,None
5/24/2022,De Havilland Canada Dhc-3T Turbine Otter,Yakutat Coastal Airlines,0,0,Substantial
5/25/2022,Airbus A320-232,United Airlines,0,0,None
5/27/2022,Boeing 787-9 Dreamliner,Etihad Airways,0,0,Unknown
5/28/2022,Beechcraft B200 King Air,Unknown,0,0,Substantial
5/29/2022,De Havilland Canada Dhc-6 Twin Otter 300,Tara Air,22,0,Written Off
6/2/2022,Cessna 525 Citationjet,Kam Aviation LLC,0,0,Substantial
6/3/2022,Cessna 208B Supervan 900,GoJump Oceanside,1,0,Substantial
6/4/2022,Cessna 208 Caravan I,Connecticut Parachutists,0,0,Substantial
6/7/2022,Shorts Sc.7 Skyvan 3-200,Alaskan Air Charter,0,0,Substantial
6/7/2022,Bombardier Bd-100-1A10 Challenger 300,Pacific Dental Services,0,0,Minor
6/10/2022,Airbus A319,,0,0,None
6/13/2022,Cessna 550 Citation Ii,Northern Meridian LLC,0,0,Substantial
6/15/2022,Beechcraft B200 Super King Air,ASL - Air Service Liege,0,0,Substantial
6/16/2022,Boeing 737-3M8 (Qc),Gomair,0,0,Substantial
6/17/2022,Boeing 777-228Er,Air France,0,0,Minor
6/17/2022,Airbus A330-202,ITA Airways,0,0,Minor
6/21/2022,Mcdonnell Douglas Md-82,RED Air,0,0,Written Off
6/21/2022,Antonov An-2R,Techservice,2,0,Written Off
6/22/2022,Learjet 55C,private,6,0,Written Off
6/22/2022,Antonov An-30M,NPP Mir,0,0,Substantial
6/24/2022,Fokker F-27 Friendship 500,Icon Aviation,0,0,Unknown
6/24/2022,Ilyushin Il-76Md,Russian Air Force,5,0,Written Off
6/25/2022,De Havilland Canada Dhc-8-402Q Dash 8,"All Nippon Airways - ANA, opb ANA Wings",0,0,None
6/26/2022,Cessna 208 Supervan 900,Alaska Seaplanes,0,0,Substantial
7/1/2022,Antonov An-12Bk,Motor Sich,0,0,Substantial
7/1/2022,Boeing 737-7H4 (Wl),Southwest Airlines,0,0,None
7/1/2022,Learjet 35A,Flying America SA,4,0,Written Off
7/13/2022,Gulfstream G450,Alpha Star Aviation Services,0,0,Substantial
7/13/2022,Cessna 208B Super Cargomaster,Corporate Air,0,0,Substantial
7/15/2022,Raytheon Beechjet 400A,"Aircraft Management Group, Inc",0,0,Substantial
7/15/2022,Antonov An-2R,private,2,0,Substantial
7/16/2022,Boeing 737-81D (Wl),Solaseed Air,0,0,None
7/16/2022,Fokker 50,Icon Aviation,0,0,Substantial
7/16/2022,Antonov An-12Bk,Meridian,8,0,Written Off
7/18/2022,Fokker 50,Jubba Airways,0,0,Written Off
7/20/2022,Airbus A321-271Nx,Wizz Air,0,0,None
7/21/2022,Cessna 680 Citation Sovereign,Anderson Air,0,0,Substantial
7/22/2022,Antonov An-2,Crop Protection Company,0,0,Substantial
7/24/2022,Boeing 717-2Bd,Delta Air Lines,0,0,Substantial
7/25/2022,Airbus A320-214,Avianca,0,0,None
7/27/2022,Bombardier Bd-100-1A10 Challenger 300,VistaJet,0,0,None
7/28/2022,De Havilland Canada Dhc-3T Vazar Turbine Otter,Rust's Flying Service,0,0,Substantial
7/29/2022,Casa C-212 Aviocar 200,Rampart Aviation,1,0,Substantial
7/30/2022,Boeing 737-86N (Wl),Nok Air,0,0,Substantial
8/5/2022,Boeing 777-Fdz,Qatar Airways Cargo,0,0,Substantial
8/6/2022,Boeing 757-251 (Wl),Delta Air Lines,0,0,Substantial
8/7/2022,Iai 1124 Westwind,Brasil Vida Táxi Aéreo,0,0,Substantial
8/15/2022,Cessna 560 Citation Encore,"Raber Flight Services, LLC",0,0,Substantial
8/17/2022,Antonov An-24B,Angara Airlines,0,0,Substantial
8/19/2022,Boeing 737-824 (Wl),United Airlines,0,0,None
8/20/2022,Beechcraft 99,PACC Air,0,0,Substantial
8/29/2022,Boeing 717-2Bd,Delta Air Lines,0,0,None
8/30/2022,Cessna 208B Grand Caravan Ex,Smart Cakrawala Aviation,0,0,Substantial
8/31/2022,Cessna 208B Grand Caravan Ex,Private,0,0,Written Off
9/1/2022,Boeing 737-824 (Wl),United Airlines,0,0,None
9/2/2022,Airbus A320-251N,TAP Air Portugal,0+2,0,Substantial
9/2/2022,Antonov An-2R,2nd Arkhangelsk United Aviation Division,0,0,Substantial
9/3/2022,Shorts Sc.7 Skyvan 3M-400,SkyForce,2,0,Written Off
9/4/2022,Airbus A220-100,Delta Air Lines,0,0,None
9/4/2022,Boeing 777-F1H,AeroLogic,0,0,None
9/4/2022,De Havilland Canada Dhc-3T Turbine Otter,Friday Harbor Seaplane Tours,10,0,Written Off
9/4/2022,Cessna 551 Citation Ii/Sp,GG Rent,4,0,Written Off
9/7/2022,Cessna 750 Citation X,"BVS, Inc",0,0,Substantial
9/9/2022,Learjet 36,Strategic Airborne Operations,0,0,Substantial
9/9/2022,Cirrus Sf50 Vision Jet,TAC9 Inc.,0,0,Substantial
9/10/2022,Antonov An-28,TRACEP-Congo Aviation,3,0,Written Off
9/10/2022,Cessna 208B Grand Caravan,Piquiatuba Táxi Aéreo,1,0,Written Off
9/15/2022,Fairchild Sa227-Ac Metro Iii,Aeronaves TSM,0,0,Substantial
9/19/2022,Beechcraft 1900C-1,Equaflight Services,0,0,Substantial
9/20/2022,Dassault Falcon 2000,Pepkor Group,0,0,Substantial
9/20/2022,Cessna 525B Citationjet Cj3,Pacific Cataract & Laser Institute Inc Pc,0,0,Written Off
9/20/2022,British Aerospace 3201 Jetstream 32Ep,SAETA Peru,1,0,Substantial
9/21/2022,Britten Norman Bn-2A-8 Islander,Jags Aviation,0,0,Substantial
9/21/2022,Rockwell Sabreliner 65,private,0,0,Written Off
9/22/2022,Boeing 737-8Hc (Wl),SunExpress,0,0,Substantial
9/22/2022,Antonov An-2R,Crop Protection Company,0,0,Substantial
9/24/2022,Boeing 737-436 (Sf),"Swiftair, opf West Atlantic (UK)",0,0,Substantial
9/25/2022,Boeing 737-8V3 (Wl),Copa Airlines,0,0,Substantial
9/25/2022,Fokker 50,Freedom Airline Express,0,0,Substantial
9/27/2022,Cessna 550 Citation Ii,ABS Equipment Leasing,0,0,Substantial
9/28/2022,Boeing 757-256 (Wl),Icelandair Flugfélag Islands,0,0,Substantial
9/28/2022,Boeing 777-3B5Er,Korean Air,0,0,Substantial
9/29/2022,Boeing 737-7Ct (Wl),Southwest Airlines,0,0,None
10/1/2022,Boeing 737-8Gj (Wl),Transavia France,0,0,Substantial
10/3/2022,Boeing 737-8Q3 (Wl),Japan Transocean Air,0,0,None
10/3/2022,Embraer Emb-545 Legacy 450,Partee Aviation LLC,0,0,Substantial
10/3/2022,Britten-Norman Bn-2A-21 Islander,Torres Strait Air,0,0,Substantial
10/5/2022,Atr 42-500,Sky Express,0,0,Substantial
10/12/2022,Honda Ha-420 Hondajet,Jupiter Aviation LLC,0,0,Substantial
10/13/2022,De Havilland Canada Dhc-3T Vazar Turbine Otter,True North Airways,0,0,Written Off
10/13/2022,Cessna 208B Grand Caravan,SAETA Peru,0,0,Written Off
10/16/2022,Cirrus Sf50 Vision Jet G2,Panamerican Training Center - PTC,0+1,0,Substantial
10/18/2022,Beechcraft 99 Airliner,Flamingo Air Charter,0,0,Substantial
10/19/2022,De Havilland Canada Dhc-8-314 Dash 8,Perimeter Aviation,0,0,Substantial
10/22/2022,Boeing 737-8As (Wl),Ryanair,0,0,None
10/23/2022,Airbus A330-322,Korean Air,0,0,Substantial
10/25/2022,Cessna 208B Grand Caravan,Reven Global Transpor,0,0,Substantial
10/27/2022,Canadair Cl-215-6B11 (Cl-415),Vigili del Fuoco,2,0,Written Off
10/28/2022,Embraer Emb-110C Bandeirante,Fuerza Aérea Uruguaya - FAU,0,0,Substantial
11/2/2022,Airbus A319-132,Spirit Airlines,0,0,None
11/3/2022,Eclipse 550,Elite Flight Travel,0,0,Substantial
11/3/2022,Let L-410Uvp-E20,Goma Express,3,0,Written Off
11/6/2022,Cessna 208B Grand Caravan,Aviación Militar Bolivariana,5,0,Written Off
11/6/2022,Atr 42-500,Precision Air,19,0,Substantial
11/7/2022,Atr 72-600 (72-212A),Japan Air Commuter,0,0,None
11/9/2022,Boeing 737-7H4 (Wl),Southwest Airlines,0,0,Substantial
11/9/2022,Boeing 737-823 (Wl),American Airlines,0,0,Substantial
11/10/2022,Boeing 737 Max 8,American Airlines,0,0,None
11/12/2022,Boeing B-17G Flying Fortress,American Airpower Heritage Museum,5+1,0,Written Off
11/14/2022,Antonov An-2,Risk Mondial Aviation & Recovery,0,0,Substantial
11/15/2022,Honda Ha-420 Hondajet,Andersen Air LLC,0,0,Substantial
11/15/2022,Fairchild Sa227-At Expediter,Ameriflight,0,0,Substantial
11/17/2022,Embraer Emb-110P1 Bandeirante,LeAir Charter Services,0,0,Minor
11/17/2022,Beechcraft 1900D,Penjet Pty Ltd,0,0,Substantial
11/18/2022,Airbus A320-271N,LATAM Perú,0+2,0,Written Off
11/18/2022,Cessna 208B Grand Caravan Ex,Raisbeck Engineering,4,0,Written Off
11/19/2022,Airbus A320-211,Delta Air Lines,0,0,Substantial
11/20/2022,Boeing 737-4Q8 (Sf),"Bluebird Cargo, opf ASL Airlines Belgium",0,0,Substantial
11/25/2022,Cirrus Sf50 Vision Jet G2,Verijet,0,0,Substantial
11/28/2022,Airbus A330-243,Azul Linhas Aéreas Brasileiras,0,0,None
11/29/2022,Boeing 737-7H4 (Wl),Southwest Airlines,0,0,None
11/29/2022,Learjet 45,Jett Aircraft,0,0,Substantial
11/30/2022,Learjet 36,Aery Aviation,0,0,Substantial
12/1/2022,Learjet 35A,"REVA, Inc.",0,0,Substantial
12/3/2022,Embraer Erj-175Lr,Mesa Airlines,0,0,None
12/7/2022,British Aerospace Bae-146-200,Antarctic Airways,0,0,Substantial
12/8/2022,Boeing 767-322Er (Wl),United Airlines,0,0,None
12/15/2022,Swearingen Sa226-Tc Metro Ii,Key Lime Air,0,0,Substantial
12/17/2022,De Havilland Canada Dhc-8-402Qpf Dash 8,Blue Bird Aviation,0,0,Substantial
12/18/2022,Airbus A330-243,Hawaiian Airlines,0,0,Minor
12/18/2022,Boeing 737-824 (Wl),United Airlines,0,0,None
12/22/2022,Boeing 787-9 Dreamliner,Air Canada,0,0,Unknown
12/23/2022,De Havilland Canada Dhc-6 Twin Otter 300,Rimbun Air,0,0,Substantial
12/24/2022,Gulfstream Giv-X (G450),Flexjet LLC,0,0,None
12/26/2022,Boeing 737-860 (Wl),Ethiopian Airlines,0,0,Substantial
12/26/2022,Boeing 737 Max 8-200,Ryanair,0,0,None
12/26/2022,Boeing 737-3Z0,"Tarco Aviation, lsf Mid Africa Aviation",0,0,Substantial
12/27/2022,Embraer Emb-505 Phenom 300,Skystallion LLC,0,0,Substantial
12/30/2022,Canadair Cl-600S Challenger 600,private,2,0,Written Off
12/31/2022,Embraer Erj-175Lr (Erj-170-200 Lr),"American Eagle, opb Envoy Air",0+1,0,Minor
12/31/2022,Cessna 208B Grand Caravan,BAR Aviation,0,0,Written Off
1/2/2021,Beechcraft 200 Super King Air,"Vagus Group, Inc.",0,0,Minor
1/2/2021,Learjet 31A,Brasil Vida Táxi Aéreo,0,0,Substantial
1/9/2021,Cessna 560 Citation V,SX Transport LLC,1,0,Written Off
1/9/2021,Boeing 737-524 (Wl),Sriwijaya Air,62,0,Written Off
1/12/2021,Harbin Y-12-Ii,Kenya Air Force - KAF,4,0,Written Off
1/17/2021,Boeing 777-31Her,Emirates,0,0,None
1/19/2021,Avro Rj85,Jota Aviation,0,0,Substantial
1/19/2021,Boeing 737-4Q8 (Sf),West Atlantic UK,0,0,Substantial
1/23/2021,Canadair Cl-600 Challenger 600,Global Avionics LLC,0,0,Unknown
1/23/2021,North American Rockwell Sabreliner 60,Aviacion Ejecutiva del Bajio,0,0,Substantial
1/24/2021,Raytheon Beechjet 400A,Martinair Inc.,0,0,Substantial
1/26/2021,Harbin Y-12E,Zambian Air Force,0,0,Substantial
1/28/2021,Beechcraft B300 King Air 350,MM-Air LLC,0,0,Substantial
1/29/2021,Beechcraft 100 King Air,private,0,0,Written Off
2/1/2021,Boeing 747-8Kzf,Nippon Cargo Airlines,0,0,Substantial
2/8/2021,Airbus A320-271N,Spirit Airlines,0,0,None
2/8/2021,Embraer Emb-500 Phenom 100,Luxwing,0,0,Substantial
2/9/2021,Antonov An-12Bk,Russian Air Force,0,0,Substantial
2/10/2021,Airbus A320-214 (Wl),Flyadeal,0,0,Substantial
2/13/2021,Dassault Falcon 900Ex Easy,Aerospike Iron LLC,0,0,Substantial
2/14/2021,De Havilland Canada Dhc-6 Twin Otter 300,Manta Air,0,0,Substantial
2/15/2021,De Havilland Canada Dhc-6 Twin Otter 300,Armée de l'air et de l'espace,0,0,Substantial
2/18/2021,Learjet 55C,Royal Air Freight,0,0,Substantial
2/20/2021,Boeing 737-86N (Wl),Air India Express,0,0,Substantial
2/20/2021,De Havilland Canada Dhc-3T Vazar Turbine Otter,Wings Over Kississing,0,0,Substantial
2/21/2021,Beechcraft 200 Super King Air,private,0,0,Written Off
2/21/2021,Learjet 45Xr,Fuerza Aérea Mexicana,6,0,Written Off
2/21/2021,Beechcraft B300 King Air 350,Nigerian Air Force - NAF,7,0,Written Off
2/26/2021,Antonov An-2T,Asia Continental Airlines,0,0,Substantial
2/28/2021,Douglas Dc-3C,ALIANSA Colombia,0,0,Substantial
3/1/2021,Atr 72-500 (72-212A),Air Algérie,0,0,Unknown
3/1/2021,Beechcraft B300 King Air 350I,"Beidahuang General Airlines, opf China Met, Administration",5,0,Written Off
3/2/2021,Let L-410Uvp-E,South Sudan Supreme Airlines,10,0,Written Off
3/4/2021,Fokker 100,Iran Air,0,0,None
3/7/2021,Embraer Emb-120Er Brasilia,Berry Aviation,0,0,Substantial
3/10/2021,Cessna 208B Grand Caravan,Mission Aviation Fellowship - MAF,0,0,Substantial
3/12/2021,Cessna 208B Grand Caravan,Grant Aviation,0,0,Substantial
3/13/2021,Antonov An-26,Kazakhstan Border Guards,4,0,Written Off
3/15/2021,Boeing 777-223Er,American Airlines,0,0,None
3/16/2021,Bombardier Crj-701Er,Skywest Airlines,0,0,None
3/18/2021,Airbus A320-232,Viva Aerobus,0,0,Substantial
3/19/2021,Antonov An-2T,Venezuela Flight Canaima,0,0,Substantial
3/20/2021,Cessna 208B Grand Caravan,Aeronav Air Services,2,0,Written Off
3/20/2021,Boeing 737-4Y0,Trigana Air Service,0,0,Substantial
3/23/2021,Saab 340Af,SprintAir,0,0,Substantial
3/25/2021,Embraer,Mauritania Airlines International,0,0,None
3/26/2021,Beechcraft B200 Super King Air,West Wind Aviation Ltd.,0,0,Written Off
3/28/2021,Embraer Emb-145Lr,"American Eagle , opb Piedmont Airlines",0,0,None
4/2/2021,Boeing 737-8As (Wl),Malta Air,0,0,Minor
4/3/2021,Cessna 208B Grand Caravan,Everts Air Cargo,0,0,Substantial
4/8/2021,Antonov An-2,Unknown,0,0,Written Off
4/9/2021,Boeing C-17A Globemaster Iii,United States Air Force - USAF,0,0,Substantial
4/14/2021,Cessna 525A Citationjet Cj2+,private,0,0,Substantial
4/15/2021,Learjet 35A,Med Air Inc,0,0,Substantial
4/16/2021,Beechcraft B99 Airliner,Lake Clark Air,0,0,Substantial
4/18/2021,Learjet 25B,Unknown,0,0,Substantial
4/20/2021,Learjet 35A,Eletric Power Construção,1,0,Written Off
4/26/2021,Cessna 208B Grand Caravan Ex,Haugland Group Aviation LLC,0,0,Substantial
5/1/2021,Cessna 550 Citation Ii,STB Aviation LLC,0,0,Substantial
5/5/2021,Gulfstream G150,TLD Aviation I LLC,0,0,Substantial
5/6/2021,Beechcraft B200Gt King Air 250,Government of Madhya Pradesh,0,0,Substantial
5/10/2021,Atr 72-600 (72-212A),Uni Air,0,0,Substantial
5/12/2021,Boeing 737-8As (Wl),Ryanair,0,0,None
5/12/2021,Swearingen Sa226-Tc Metro Ii,Key Lime Air,0,0,Substantial
5/13/2021,Cessna 208B Grand Caravan,Skydive Andes,0,0,Unknown
5/19/2021,Hawker 800,private,0,0,Written Off
5/20/2021,Iai 1125 Astra,private,0,0,Substantial
5/21/2021,Boeing 737-7H4,Southwest Airlines,0,0,Minor
5/21/2021,Antonov An-2R,Utair,0,0,Substantial
5/21/2021,Beechcraft B300 King Air 350I,Nigerian Air Force - NAF,11,0,Written Off
5/28/2021,Boeing 767-38E,Asiana Airlines,0,0,None
5/28/2021,Boeing 737-823 (Wl),American Airlines,0,0,Substantial
5/29/2021,Cessna 501 Citation I/Sp,JL&GL Productions LP,7,0,Written Off
5/30/2021,Atr 72-500 (72-212A),Sky Express,0,0,Substantial
6/2/2021,Beechcraft 1900C,Alpine Air Express,0,0,Substantial
6/3/2021,Cessna 208B Grand Caravan Ex,Dabi Air Nusantara,0,0,Written Off
6/4/2021,Honda Ha-420 Hondajet,GF Aviation LLC,0,0,Substantial
6/5/2021,Cessna 208B Supervan 900,Paraclub Wiener Neustadt,0,0,Substantial
6/7/2021,Boeing 737-8Al (Wl),Vistara,0,0,None
6/10/2021,Beechcraft 1900D,Tatmadaw Lei (Myanmar Air Force),12,0,Written Off
6/13/2021,Boeing 737-8As (Wl),Ryanair,0,0,None
6/14/2021,Atr 72-600 (72-212A),IndiGo Airlines,0,0,Substantial
6/16/2021,Let L-410Uvp-E,Kin Avia,3,0,Written Off
6/18/2021,Boeing 787-8 Dreamliner,British Airways,0,0,Substantial
6/19/2021,Let L-410Uvp-E,DOSAAF,5,0,Written Off
6/21/2021,Rockwell Sabreliner 65,private,0,0,Written Off
6/23/2021,Gulfstream G280,INEOS Aviation,0,0,Substantial
6/23/2021,Lockheed L-100-30 Hercules,Ethiopian Air Force,,0,Written Off
6/24/2021,Antonov An-2R,private,0,0,Substantial
6/25/2021,Airbus A321-231,American Airlines,0,0,None
6/25/2021,Shorts 360-300,Air Cargo Carriers,0,0,Substantial
6/25/2021,Cessna 208B Supervan 900,Skydive Teuge,0,0,Substantial
6/29/2021,Airbus A350-941,Air France,0,0,None
7/1/2021,Convair Cv-580 Airtanker,Conair,0,0,Substantial
7/1/2021,Convair Cv-580 Airtanker,Conair,0,0,Minor
7/2/2021,Boeing 737-275C Adv.,Transair (Cargo),0,0,Written Off
7/2/2021,Cessna 750 Citation X,Hellenic CAA,0,0,Substantial
7/4/2021,Airbus A321-231,American Airlines,0,0,None
7/4/2021,Antonov An-2R,ELISA,0,0,Substantial
