acc.date,aircraft_type,operator,location,fatalities,damage
7/4/2021,Lockheed C-130H Hercules,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),50+3,0,Written Off
7/5/2021,Iai 1124A Westwind Ii,Transenergie Inc,2,0,Written Off
7/6/2021,Atr 42-320,Transwest Air,0,0,None
7/6/2021,Antonov An-26B-100,Kamchatka Aviation Enterprise,28,0,Written Off
7/7/2021,Cessna 208B Grand Caravan,Ryan Air,0,0,None
7/8/2021,Douglas Dc-3C,ALIANSA Colombia,3,0,Written Off
7/11/2021,Airbus A320-214,Condor Flugdienst,0,0,Substantial
7/11/2021,De Havilland Canada Dhc-3T Vazar Turbine Otter,Northwestern Air,0,0,Substantial
7/11/2021,Cessna 208 Caravan I,Air Tunilik,0,0,Substantial
7/14/2021,Cessna 208B Grand Caravan Ex,Jags Aviation,0,0,Substantial
7/15/2021,De Havilland Canada Dhc-3T Vazar Turbine Otter,Harbour Air,0,0,Substantial
7/15/2021,Cessna 208 Caravan I,Seair Seaplanes,0,0,Substantial
7/16/2021,Antonov An-28,SiLA - Siberian Light Aviation,0,0,Substantial
7/17/2021,Cessna 208B Supervan 900,GoSkydive,0,0,Substantial
7/18/2021,Atr 72-500 (72-212A),"Air Europa Express, opb Aeronova",0,0,Substantial
7/20/2021,British Aerospace Bae-125-700A,private,0,0,Written Off
7/21/2021,Cessna 560Xl Citation Excel,PV Transport Inc,0,0,Substantial
7/21/2021,De Havilland Canada Dhc-8-106,Skyward Express,0,0,Substantial
7/22/2021,Airbus A321-211,Delta Air Lines,0,0,None
7/25/2021,Boeing 737-8Jp (Wl),Norwegian Air Sweden,0,0,None
7/26/2021,Bombardier Cl-600-2B16 Challenger 605,Aeolus Air Charter,6,0,Written Off
7/26/2021,Cessna 208 Supervan 900,Skydive Binz,1,0,Written Off
7/27/2021,Cessna 208B Grand Caravan,"Abyssinian Flight Services, opf UNWorld Food Programme",0,0,Written Off
7/31/2021,Boeing 737-8As (Wl),Ryanair,0,0,None
8/3/2021,Airbus A300B4-622R (F),European Air Transport,0,0,Substantial
8/9/2021,Gulfstream American G-1159A Gulfstream Iii,private,0,0,Written Off
8/11/2021,Mcdonnell Douglas Md-11F,United Parcel Service - UPS,0,0,Substantial
8/12/2021,Shijiazhuang Y-5B(D),Northeast General Aviation Co.,0,0,Written Off
8/14/2021,Britten-Norman Bn-2A-Iii-2 Trislander,Roraima Airways,0,0,Minor
8/14/2021,Bombardier Dhc-8-402Q Dash 8,Congo Airways,0,0,Minor
8/14/2021,Beriev Be-200Chs,Russian Navy,8,0,Written Off
8/16/2021,Cessna 208B Grand Caravan,Wright Air Service,0,0,Substantial
8/17/2021,Ilyushin Il-112V,United Aircraft Corporation,3,0,Written Off
8/21/2021,Airbus A319-132,American Airlines,0,0,None
8/21/2021,De Havilland Canada Dhc-3T Turbine Otter,Brooks Range Aviation,0,0,Substantial
8/21/2021,Gulfstream G-Iv,SN 1124 LLC,0,0,Substantial
8/23/2021,Boeing 737-990Er,Alaska Airlines,0,0,None
8/24/2021,Cirrus Sf50 Vision Jet,N1GG LLC,0,0,Written Off
8/25/2021,Beechcraft 1900D,SkyJet,0,0,Substantial
8/26/2021,Embraer Emb-505 Phenom 300,Nicholas Services LLC,0,0,Substantial
8/27/2021,Bombardier Crj-900Lr,Air Canada,0,0,Minor
9/1/2021,Boeing 767-332Er (Wl),Delta Air Lines,0,0,None
9/2/2021,Cessna 560Xls+ Citation Xls+,Brook Haven Properties LLC,4,0,Written Off
9/3/2021,Raytheon 390 Premier I,PB Air LLC,0,0,Substantial
9/4/2021,Atr 72-600 (72-212A),IndiGo Airlines,0,0,None
9/4/2021,Cessna 560Xl Citation Excel,Fly Exclusive,0,0,Substantial
9/12/2021,British Aerospace Bae-125,private,0,0,Written Off
9/12/2021,Let L-410Uvp-E20,"Aeroservice, opf SiLA - Siberian Light Aviation",4,0,Written Off
9/14/2021,Raytheon Beechjet 400A,Meander Air II LLC,0,0,Substantial
9/14/2021,Beechcraft B200Gt King Air 250,CSM Agropecuária,7,0,Written Off
9/15/2021,Airbus A320-214,Austrian Airlines,0,0,Substantial
9/15/2021,De Havilland Canada Dhc-6 Twin Otter 300,Rimbun Air,3,0,Written Off
9/17/2021,Canadair Crj-200Lr,"United Express, opb Air Wisconsin",0,0,Substantial
9/20/2021,Learjet 35A,Impuma Group,0,0,Substantial
9/22/2021,Antonov An-26Kpa,LPS Flight Checks & Systems,6,0,Written Off
9/23/2021,Airbus A321-271N,Hawaiian Airlines,0,0,Substantial
9/25/2021,Cessna 208B Supervan 900,Paracentrum Vlaanderen,0,0,Substantial
9/27/2021,Saab 340B,"STP Airways, lsf AeroJet",0,0,Substantial
9/27/2021,Boeing 757-224 (Wl),United Airlines,0,0,Substantial
9/28/2021,Iai 1124A Westwind Ii,Brasil Vida Táxi Aéreo,0,0,Substantial
9/29/2021,Britten-Norman Bn-2B-26 Islander,SVG Air,0,0,Substantial
10/1/2021,Embraer Erj-175Lr,"United Express, opb Republic Airlines",0,0,Substantial
10/1/2021,Embraer Erj-175Lr,"United Express, opb SkyWest Airlines",0,0,Minor
10/5/2021,Dassault Falcon 20C,Sierra West Airlines,2,0,Written Off
10/8/2021,Boeing 737-8H4 (Wl),Southwest Airlines,0,0,None
10/8/2021,Learjet 35A,private,0,0,Written Off
10/10/2021,Let L-410Uvp-E3,DOSAAF,16,0,Written Off
10/13/2021,Bombardier Bd-700-1A10 Global 6000,VistaJet,0,0,Substantial
10/14/2021,Antonov An-2T,private,0,0,Written Off
10/15/2021,Cessna 208B Grand Caravan,Air Services Limited - ASL,0+1,0,None
10/18/2021,Beechcraft 200 Super King Air,Lowcountry Aviation Co Brokerage LLC,0,0,Substantial
10/19/2021,Antonov An-2R,AeroUral,0,0,Substantial
10/19/2021,Rockwell Sabreliner 60,private,0,0,Substantial
10/19/2021,Mcdonnell Douglas Md-87,987 Investments LLC,0,0,Written Off
10/22/2021,Embraer Emb-500 Phenom 100,Scout About LLC,0,0,Substantial
10/22/2021,Cessna 208B Supervan 900,Alaska Seaplanes,0,0,Substantial
10/23/2021,Embraer Erj-175Lr,"Envoy Air, opf American Eagle",0,0,None
10/25/2021,Cessna 208 Caravan I,Smart Cakrawala Aviation,1,0,Written Off
10/29/2021,Cessna 208B Grand Caravan,Reven Global Transpor,0,0,Written Off
10/30/2021,Beechcraft 200 King Air,"PAL Airlines, opf EHS LifeFlight Services",0,0,Substantial
11/1/2021,De Havilland Canada Dhc-6 Twin Otter 300,Air Tindi,0,0,Substantial
11/2/2021,Antonov An-26,"Optimum Aviation, opf Euro Airlines",5,0,Written Off
11/3/2021,Beechcraft Super King Air,private,0,0,Written Off
11/3/2021,Antonov An-12Bk,Grodno Aircompany,9,0,Written Off
11/3/2021,Transall C-160Ng,Safe Air Company (SAC),0,0,Written Off
11/5/2021,Gulfstream ?,private,0,0,Written Off
11/5/2021,Gulfstream Aerospace G-1159A Gulfstream Iii,private,0,0,Written Off
11/6/2021,Antonov An-2R,Asociatia Club Sportiv Skydiving Center,0,0,Substantial
11/13/2021,Britten-Norman Bn-2A-6 Islander,Island Airways,4,0,Written Off
11/14/2021,Iai 1125 Astra Sp,EMD Astra Holdings LLC,0,0,Substantial
11/21/2021,Bombardier Bd-100-1A10 Challenger 350,NetJets,0,0,None
11/25/2021,Airbus A320-251N,Azul Linhas Aéreas Brasileiras,0,0,None
11/28/2021,Beechcraft 200 Super King Air,Western Wings Corp,0,0,Substantial
11/29/2021,Boeing 747-4B5F,Kalitta Air,0,0,Substantial
12/1/2021,Cessna 510 Citation Mustang,private,0,0,Substantial
12/1/2021,Cessna 208 Caravan I,Lake & Peninsula Airlines,0,0,Substantial
12/5/2021,Airbus A350-941,Air Caraïbes Atlantique,0,0,None
12/5/2021,Cessna 560Xl Citation Excel,Air Charter Scotland Ltd.,0,0,Substantial
12/10/2021,Swearingen Sa-226At Merlin Iv,Castle Aviation,1,0,Written Off
12/11/2021,Boeing 737-8As (Wl),Ryanair,0,0,None
12/12/2021,Airbus A320-251N,Frontier Airlines,0,0,Substantial
12/14/2021,Embraer Emb-500 Phenom 100,Dimed SA Distribuidora da Medicamentos,0,0,Substantial
12/15/2021,Gulfstream G-Ivsp,Helidosa Aviation Group,9,0,Written Off
12/17/2021,Beechcraft B200 Super King Air,Keewatin Air,0,0,Substantial
12/20/2021,Cessna 525 Citationjet,Cottingham & Butler Insurance Services,0,0,Substantial
12/21/2021,Airbus A321-271Nx,JetBlue Airways,0,0,None
12/21/2021,Learjet 35A,private,0,0,Written Off
12/21/2021,Cessna 208B Super Cargomaster,Martinaire,1+1,0,Written Off
12/23/2021,Shorts 360-300,Malu Aviation,5,0,Written Off
12/25/2021,Airbus A330-343,Air Canada,0,0,Substantial
12/27/2021,Learjet 35A,Aeromedevac Air Ambulance,4,0,Written Off
12/28/2021,Beechcraft A100 King Air,Sky-Bound Aviation LLC,0,0,Substantial
12/28/2021,Cessna 208B Grand Caravan,Halsted Aviation Corporation (HAC),0,0,Written Off
12/30/2021,Embraer Erj-170Se,"United Express, opb Republic Airlines",0,0,Substantial
12/30/2021,Airbus A330-303,THY Turkish Airlines,0,0,Minor
12/30/2021,Beechcraft 300 Super King Air,"Empresas Ginro, S.A.",0,0,Written Off
12/31/2021,Irma/Pilatus Britten-Norman Bn-2T Islander,Royal Moroccan Gendarmerie,0,0,Unknown
1/1/2020,Gulfstream G Iv,Executive Charters Inc,0,0,None
1/2/2020,Antonov An-12A,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),18,0,Written Off
1/3/2020,Hawker 900Xp,Million Air San Juan,0,0,Substantial
1/3/2020,Harbin Y-12-Ii,Sri Lanka Air Force,4,0,Written Off
1/4/2020,Beechcraft B200 King Air,"L.C. Whitford Co., Inc.",0,0,Substantial
1/5/2020,De Havilland Canada Dhc-8-202Q,US Special Operations Command (USSOCOM),0,0,Written Off
1/5/2020,Beechcraft B300 King Air 350,L3 Technologies,2,0,Written Off
1/8/2020,Boeing 737-823 (Wl),American Airlines,0,0,Substantial
1/8/2020,Boeing 737-8Kv (Wl),Ukraine International Airlines,176,0,Written Off
1/9/2020,Lockheed C-130Bz Hercules,South African Air Force - SAAF,0,0,Substantial
1/10/2020,Airbus A320-232,United Airlines,0,0,None
1/10/2020,Airbus A321-231 (Wl),Nordwind Airlines,0,0,Substantial
1/12/2020,Boeing 737-8Q8 (Wl),Jin Air,0,0,None
1/13/2020,Airbus A320-214,Finnair,0,0,None
1/16/2020,Airbus A380-861,Emirates,0,0,None
1/16/2020,Beechcraft B200 King Air,LifeMed Alaska,0,0,Written Off
1/19/2020,Fairchild Sa227-Ac Metro Iii,Perimeter Aviation,0,0,Substantial
1/20/2020,Boeing 767-232 (Bdsf),West Air Sweden,0,0,Substantial
1/20/2020,De Havilland Canada Dhc-8-314 Dash 8,Air Inuit,0,0,Substantial
1/23/2020,Cessna S550 Citation S/Ii,South African Civil Aviation Authority,3,0,Written Off
1/23/2020,Lockheed Ec-130Q Hercules,Coulson Aviation,3,0,Written Off
1/24/2020,Gulfstream G150,Compass Aviation LLC,0,0,Substantial
1/27/2020,Bombardier E-11A (Global Express),US Air Force (USAF),2,0,Written Off
1/27/2020,Mcdonnell Douglas Md-83,Caspian Airlines,0,0,Written Off
1/28/2020,Boeing 737-6Ct,WestJet,0,0,Substantial
1/28/2020,Boeing 737-76N (Wl),WestJet,0,0,Substantial
1/30/2020,Hawker 900Xp,ALE - Aerolineas Ejecutivas,0,0,Written Off
1/31/2020,Bombardier Dhc-8-402Q Dash 8,WestJet Encore,0,0,Substantial
2/1/2020,Boeing 747-412F (Scd),"ACT Airlines, opf Saudi Arabian Airlines",0,0,Substantial
2/2/2020,Airbus A380-861,Emirates,0,0,None
2/3/2020,Boeing 747-412 (Bcf),Kalitta Air,0,0,Substantial
2/3/2020,Boeing 767-375Er,Air Canada,0,0,Minor
2/4/2020,Cessna 208B Grand Caravan,Grant Aviation,0,0,Substantial
2/5/2020,Boeing 737-86J (Wl),Pegasus Airlines,3,0,Written Off
2/6/2020,Cessna 208B Grand Caravan,Redding Aero Enterprises Inc.,0,0,Substantial
2/7/2020,Bombardier Crj-900Lr,"PSA Airlines, opf American Eagle",0,0,Substantial
2/7/2020,Cessna 208B Super Cargomaster,"Mountain Air Cargo, opf FedEx",0,0,Substantial
2/7/2020,Boeing 757-256 (Wl),Icelandair Flugfélag Islands,0,0,Unknown
2/8/2020,Beechcraft 200 Super King Air,Transportes Torreon,0,0,Written Off
2/8/2020,Cessna 501 Citation I/Sp,Remonia Air,4,0,Written Off
2/9/2020,Boeing 737-524 (Wl),Utair,0,0,Substantial
2/12/2020,Cessna 560 Citation Encore,SC Cole Aviation LLC,0,0,Substantial
2/14/2020,Cessna 208 Caravan I,Mission Aviation Fellowship - MAF,0,0,Substantial
2/15/2020,Boeing 737-8Kn (Wl),Eastar Jet,0,0,None
2/20/2020,Cessna 510 Citation Mustang,Private,0,0,Substantial
2/20/2020,Beechcraft B200 King Air,"Lauren Engineers & Constructors, Inc.",3,0,Written Off
2/20/2020,Antonov An-2T,T-Cement,0,0,Substantial
2/21/2020,De Havilland Canada Dhc-3T Vazar Turbine Otter,Harbour Air,0,0,Substantial
2/23/2020,Bombardier Cl-600-2B16 Challenger 605,Canadian Pacific Railway Company,0,0,Substantial
2/24/2020,De Havilland Canada Dhc-6 Twin Otter 300,Trans Maldivian Airways,0,0,Substantial
2/24/2020,Fairchild Sa227-Dc Metro 23,"Bearskin Airlines, opb Perimeter Aviation",0,0,Substantial
2/25/2020,Boeing 737-301 (Bdsf),Trigana Air Service,0,0,Substantial
2/25/2020,Learjet 55,Expectra Aviation Inc.,0,0,Substantial
2/26/2020,Antonov An-2P,Orlan 2000,0,0,Written Off
2/27/2020,Dassault Falcon 50,private,0,0,Written Off
2/28/2020,Airbus A300B4-203 (F),Sigma Airlines,0,0,Substantial
2/29/2020,Learjet 35A,East Coast Jets,0,0,Substantial
3/3/2020,Dassault Falcon 7X,private,0,0,Substantial
3/3/2020,Cessna 560 Citation Encore,private,0,0,Substantial
3/3/2020,Cirrus Sf50 Vision Jet,BBR Air,0,0,Substantial
3/3/2020,Learjet 55,Jetleg Management,0,0,Substantial
3/3/2020,Beechcraft 200 Super King Air,AT Aero LLC,0,0,Substantial
3/3/2020,Beechcraft 200 Super King Air,Executive Business Aviation Inc,0,0,Substantial
3/3/2020,Bombardier Bd-100-1A10 Challenger 300,Legacy Air LLC,0,0,Substantial
3/3/2020,Cessna 525C Citation Cj4,Textron Inc.,0,0,Substantial
3/3/2020,Cessna 525 Citationjet Cj1,"Crye-Leike South, Inc",0,0,Substantial
3/3/2020,Beechcraft B300 King Air 350I,Carol 1 LLC,0,0,Written Off
3/3/2020,Dassault Falcon 2000,"Caridad Aviation, LLC",0,0,Substantial
3/3/2020,Cessna S550 Citation S/Ii,private,0,0,Substantial
3/5/2020,Cessna 208B Super Cargomaster,"FedEx Express, opb CSA Air",0,0,Substantial
3/6/2020,De Havilland Canada Dhc-6 Vista Liner 300,Grand Canyon Airlines,0,0,Substantial
3/8/2020,Boeing 767-3Q8Er,Omni Air International,0,0,Substantial
3/9/2020,Airbus A330-343,Thai Airways International,0,0,Substantial
3/9/2020,Gulfstream G-Ivsp,"Platinum Jet Co., Ltd.",0,0,Substantial
3/12/2020,De Havilland Canada Dhc-3T Vazar Turbine Otter,Martini Aviation Ltd.,0,0,Substantial
3/12/2020,Beechcraft 200 Super King Air,private,2,0,Written Off
3/13/2020,Cessna 525 Citationjet,Servicios 5250084,2,0,Written Off
3/14/2020,Raytheon Hawker 800Xp,Gemini Air Group,0,0,Substantial
3/17/2020,Cessna 208B Super Cargomaster,Planemasters,1,0,Written Off
3/19/2020,Cessna 208 Caravan I,Mission Aviation Fellowship - MAF,0,0,Substantial
3/21/2020,Boeing 757-223 (Wl),American Airlines,0,0,Substantial
3/22/2020,Hawker Siddeley Hs-125-F400B,private,0,0,Substantial
3/28/2020,Cessna 501 Citation I/Sp,RBR Development LLC,0,0,Written Off
3/28/2020,Cessna 525A Citationjet Cj2+,Hog Air Aviation LLC,0,0,Written Off
3/29/2020,Iai 1124A Westwind Ii,Lionair Inc.,8,0,Written Off
4/5/2020,Antonov An-26,Libyan National Army,,0,Written Off
4/12/2020,Boeing 737-881 (Wl),"All Nippon Airways - ANA, opb ANA Wings",0,0,None
4/16/2020,Cessna 208 Caravan I,Mike's Oilfield Services Ltd.,0,0,Substantial
4/19/2020,British Aerospace Bae-125-700A,private,2,0,Written Off
4/20/2020,British Aerospace Bae-125-800A,private,0,0,Written Off
4/23/2020,Lockheed C-130J-30 Super Hercules,United States Air Force - USAF,0,0,Substantial
4/24/2020,Iai 1125 Astra Sp,Inversiones SC 2012,0,0,Substantial
4/28/2020,Beechcraft A100 King Air,Buffalo Airways,0,0,Substantial
5/2/2020,Beechcraft B200 Super King Air,Province of Saskatchewan Ministry of Central Services,0,0,Substantial
5/4/2020,Learjet 25D,Dos Mil Aerosistema,0,0,Substantial
5/4/2020,Embraer Emb-120Rt Brasilia,African Express Airways,6,0,Written Off
5/5/2020,Learjet 35A,MD Fly,3,0,Written Off
5/7/2020,Hawker Siddeley Hs-125,private,0,0,Written Off
5/8/2020,Beechcraft 1900C,Ameriflight,0,0,Substantial
5/9/2020,Ilyushin Il-78,Libyan Air Force,0,0,Written Off
5/9/2020,Learjet 60Xr,United Aviation,0,0,Written Off
5/16/2020,Let L-410Ma,Unknown,0,0,Substantial
5/19/2020,Cessna 501 Citation I/Sp,McWilliams LLC,0,0,Substantial
5/19/2020,Boeing 737-8Q8 (Wl),Swift Air,0,0,Substantial
5/21/2020,Beechcraft 400A Beechjet,Sanjiv Goenka Group,0,0,Substantial
5/21/2020,Embraer C-95Bm Bandeirante (Emb-110),Força Aérea Brasileira - FAB,0,0,Substantial
5/22/2020,Airbus A320-214,Pakistan International Airlines - PIA,97+1,0,Written Off
5/26/2020,Beechcraft 200 Super King Air,private,0,0,Written Off
5/28/2020,British Aerospace Bae-125-700A,private,0,0,Substantial
5/30/2020,Antonov An-2,Taraz Zhana Alem,0,0,Substantial
5/30/2020,De Havilland Canada Dhc-6 Twin Otter 100,"Kapowsin Air Sports, opf Skydive San Diego",0,0,Substantial
5/30/2020,Beechcraft 200 Super King Air,private,0,0,Written Off
6/8/2020,Dornier 228-212,Netherlands Coast Guard (Kustwacht),0,0,Minor
6/8/2020,Lockheed C-130H3 Hercules,United States Air Force - USAF,0,0,Substantial
6/9/2020,Beechcraft 1900D,Sunwest Aviation,0,0,Substantial
6/13/2020,Beechcraft 300 Super King Air 350,Gama Aviation Signature,0,0,Substantial
6/14/2020,Airbus A320-271N,IndiGo Airlines,0,0,None
6/14/2020,Airbus A320-232,Ural Airlines,0,0,Substantial
6/14/2020,Airbus A320-271N,S7 Airlines,0,0,Minor
6/15/2020,Grumman G-1159 Gulfstream Ii,private,1,0,Written Off
6/16/2020,Embraer Erj-145Ep,Loganair,0,0,Minor
6/16/2020,De Havilland Canada Dhc-8-402Q Dash 8,Nordic Aviation Capital,0,0,Substantial
6/19/2020,Gulfstream Aerospace G-1159A Gulfstream Iii,private,0,0,Written Off
6/28/2020,Cessna 560Xl Citation Xls,Jindal Steel & Power Ltd.,0,0,Substantial
7/2/2020,Grumman G-1159 Gulfstream Ii Sp,Private,0,0,Written Off
7/5/2020,Boeing 737-7H4,Southwest Airlines,0,0,None
7/5/2020,British Aerospace Bae-125-700A,private,0,0,Written Off
7/7/2020,Airbus A319-111,Chair Airlines,0,0,Written Off
7/7/2020,Hawker 800Xp,private,0,0,Written Off
7/9/2020,Embraer Erj-175Lr,"Envoy Air, opf American Eagle",0,0,None
7/9/2020,Airbus A319-132,LATAM Airlines Brasil,0,0,None
7/10/2020,Learjet 45,Aeroparadise SA,0,0,Substantial
7/13/2020,Britten-Norman Bn-2A-27 Islander,Tropic Air Charters,0,0,Substantial
7/13/2020,Antonov An-2R,Zeus-Avia,2,0,Written Off
7/14/2020,Boeing 737-8S3 (Wl),Mango,0,0,None
7/14/2020,De Havilland Canada Dhc-8-402Q (Pf) Dash 8,Blue Bird Aviation,0,0,Written Off
7/15/2020,Beechcraft B300 King Air 350I,Turkish Police,7,0,Written Off
7/17/2020,Beechcraft 200 Super King Air,Skyjet Aviation,0,0,Substantial
7/19/2020,Antonov An-2R,Phoenix,6,0,Written Off
7/20/2020,Beechcraft B200 Super King Air,private,0,0,Substantial
7/22/2020,Beechcraft 400A Beechjet,N425BJ LLC,0,0,Substantial
7/22/2020,Boeing 777-F60,Ethiopian Airlines,0,0,Written Off
7/23/2020,Airbus A310-304,Mahan Air,0,0,None
7/25/2020,Cessna 208B Grand Caravan,AX Transporter,0,0,Substantial
7/26/2020,Gulfstream Aerospace G-1159A Gulfstream Iii,private,0,0,Written Off
7/28/2020,Boeing 737-3Z0 (Sf),Trigana Air Service,0,0,Minor
7/30/2020,Beechcraft 200 Super King Air,private,0,0,Written Off
8/1/2020,Airbus A321-211 (Wl),Aeroflot Russian International Airlines,0,0,Substantial
8/3/2020,Antonov An-74Tk-100,"UTair-Cargo, opf United Nations - UN",0,0,Written Off
8/4/2020,Harbin Y-12-Ii,Kenya Air Force - KAF,0,0,Substantial
8/7/2020,Boeing 737-8Hg (Wl),Air India Express,21,0,Written Off
8/8/2020,British Aerospace Bae-125,private,0,0,Written Off
8/8/2020,Canadair Cl-215-1A10,"Aut, Nacional de Emergência e Proteção Civil, opb Babcock",1,0,Written Off
8/9/2020,British Aerospace Bae-125-800A,private,0,0,Written Off
8/10/2020,Rockwell Sabreliner 75A,private,2,0,Written Off
8/12/2020,Airbus A320-214,Iberia,0,0,None
8/12/2020,Beechcraft B200 King Air,private,0,0,Written Off
8/13/2020,Let L-410Uvp-E3,Doren Air Congo,4,0,Written Off
8/16/2020,Cessna 208B Grand Caravan,City Link,0,0,Written Off
8/18/2020,Atr 72-600 (72-212A),Air Senegal,0,0,Substantial
8/19/2020,Boeing 767-3S2Fer,FedEx,0,0,Substantial
8/20/2020,Beechcraft 200 Super King Air,Bomac Air,1,0,Written Off
8/22/2020,Antonov An-26B,"South West Aviation, lsf Skyway Air",9,0,Written Off
8/27/2020,Boeing 747Sp-21,Las Vegas Sands Corporation,0,0,Substantial
8/28/2020,Boeing 767-324Er,Omni Air International,0,0,Substantial
8/29/2020,Boeing 737-81D (Wl),Skymark Airlines,0,0,Substantial
8/29/2020,Dassault Falcon 200,private,0,0,Substantial
9/4/2020,Fairchild Sa227-Ac Metro Iii,Ameriflight,0,0,Substantial
9/7/2020,Cessna 208B Grand Caravan,Grand Canyon Airlines,0,0,Substantial
9/7/2020,Gulfstream G200 Galaxy,W.R.V. Empreendimentos e Participacoes Ltda.,0,0,Substantial
9/11/2020,Cessna 208B Grand Caravan,Unknown,0,0,Written Off
9/15/2020,Beechcraft 200 King Air,private,0,0,Written Off
9/16/2020,Cessna 560 Citation Encore,Connair Consulting LLC,0,0,Substantial
9/18/2020,Learjet,private,0,0,Written Off
9/19/2020,Fokker 50,"Silverstone Air Services, opf Saacid Airlines",0,0,Written Off
9/21/2020,Learjet 35,private,0,0,Written Off
9/22/2020,Cessna 208B Grand Caravan,private,0,0,Substantial
9/23/2020,British Aerospace Bae-125-800A,private,4,0,Written Off
9/25/2020,British Aerospace Bae-125,private,,0,Written Off
9/25/2020,Antonov An-26Sh,Ukraine Air Force,26,0,Written Off
9/27/2020,Canadair Cl-600-1A11 Challenger 600,private,0,0,Written Off
9/28/2020,Antonov An-2,Unknown,0,0,Written Off
9/29/2020,Lockheed Kc-130J Hercules,United States Marine Corps,0,0,Substantial
9/30/2020,Boeing 777-232Er,Delta Air Lines,0,0,None
10/4/2020,Gulfstream American G-1159A Gulfstream Iii,private,0,0,Written Off
10/5/2020,De Havilland Canada Dhc-6 Twin Otter 300,Trans Maldivian Airways,0,0,Substantial
10/5/2020,British Aerospace Bae-125,private,0,0,Written Off
10/5/2020,Hawker 850Xp,Ratchthani Leasing Public Company Limited,0,0,Substantial
